make_standardized,model_raw,model_standardized
FORD,TIGGO,TIGGO
FORD,TOUARE,TOUARE
FORD,TOUENE,TOUENE
FORD,TOURNE,TOURNE
FORD,TR 545,TR 545
FORD,TR CUS,TR CUS
FORD,TR TRA,TR TRA
FORD,TR5452,TR5452
FORD,TRANIS,TRANIS
FORD,TRANIT,TRANIT
FORD,TRANSI,TRANSI
FORD,TRANST,TRANST
FORD,TRASNI,TRASNI
FORD,TREMOR,TREMOR
FORD,TUCSON,TUCSON
FORD,UTE CA,UTE CA
FORD,VAN,VAN
FORD,VENUE,VENUE
FORD,WANGER,WANGER
FORD,WILDTR,WILDTR
FORD,XL BLA,XL BLA
FORD,XL DC,XL DC
FORD,XLT CA,XLT CA
FORD,YN2SPX,YN2SPX
FORD,YN2SSW,YN2SSW
FORD,YNWSRR,YNWSRR
FORD,ZRV,ZRV
HOLDEN,CHEVRO,CHEVRO
HOLDEN,COMMOD,COMMOD
HOLDEN,CORVET,CORVET
HOLDEN,CRV,CRV
HOLDEN,GMC YU,GMC YU
HOLDEN,HOLDEN,HOLDEN
HOLDEN,HONDA,HONDA
HOLDEN,SILVEA,SILVEA
HOLDEN,SILVER,SILVER
HOLDEN,STATES,STATES
HOLDEN,VFGSSV,VFGSSV
HOLDEN,YUKON,YUKON
HOLDEN,ZRV,ZRV
HONDA,,
HONDA,1000M3,1000M3
HONDA,2025,2025
HONDA,400258,400258
HONDA,500NX,500NX
HONDA,5X5 70,5X5 70
HONDA,5X5700,5X5700
HONDA,750 HO,750 HO
HONDA,ACCORD,ACCORD
HONDA,ADVENT,ADVENT
HONDA,AFRICA,AFRICA
HONDA,C65FAL,C65FAL
HONDA,CB 125,CB 125
HONDA,CB1000,CB1000
HONDA,CB125,CB125
HONDA,CB125E,CB125E
HONDA,CB125F,CB125F
HONDA,CB125L,CB125L
HONDA,CB300F,CB300F
HONDA,CB300N,CB300N
HONDA,CB300R,CB300R
HONDA,CB350,CB350
HONDA,CB350F,CB350F
HONDA,CB45O,CB45O
HONDA,CB500,CB500
HONDA,CB500F,CB500F
HONDA,CB500R,CB500R
HONDA,CB500X,CB500X
HONDA,CB650R,CB650R
HONDA,CB750,CB750
HONDA,CB750A,CB750A
HONDA,CB750R,CB750R
HONDA,CBF,CBF
HONDA,CBF 12,CBF 12
HONDA,CBF125,CBF125
HONDA,CBF300,CBF300
HONDA,CBR100,CBR100
HONDA,CBR500,CBR500
HONDA,CBR50R,CBR50R
HONDA,CBR5R,CBR5R
HONDA,CBR600,CBR600
HONDA,CBR650,CBR650
HONDA,CER150,CER150
HONDA,CERATO,CERATO
HONDA,CERV H,CERV H
HONDA,CFR300,CFR300
HONDA,CIVIC,CIVIC
HONDA,CL500,CL500
HONDA,CL500A,CL500A
HONDA,CL500L,CL500L
HONDA,CMC500,CMC500
HONDA,CMX 11,CMX 11
HONDA,CMX 50,CMX 50
HONDA,CMX110,CMX110
HONDA,CMX500,CMX500
HONDA,CR-V,CR V
HONDA,CR V,CR V
HONDA,CRC,CRC
HONDA,CRF,CRF
HONDA,CRF 11,CRF 11
HONDA,CRF 30,CRF 30
HONDA,CRF 45,CRF 45
HONDA,CRF RA,CRF RA
HONDA,CRF110,CRF110
HONDA,CRF125,CRF125
HONDA,CRF150,CRF150
HONDA,CRF230,CRF230
HONDA,CRF250,CRF250
HONDA,CRF300,CRF300
HONDA,CRF450,CRF450
HONDA,CRF45L,CRF45L
HONDA,CRF45O,CRF45O
HONDA,CRF45X,CRF45X
HONDA,CRV,CRV
HONDA,CRV BL,CRV BL
HONDA,CRV EH,CRV EH
HONDA,CRV  H,CRV H
HONDA,CRV HE,CRV HE
HONDA,CRV HY,CRV HY
HONDA,CRV RS,CRV RS
HONDA,CRV  V,CRV V
