make_standardized,model_raw,model_standardized
BMW,XX6,XX6
BMW,Z4,Z4
BMW,Z4 20I,Z4 20I
BMW,Z4 M40,Z4 M40
BMW,Z4 SDR,Z4 SDR
BMW,ZP11,ZP11
BYD,2024,2024
BYD,A,A
BYD,AAA,AAA
BYD,ATT0 2,ATT0 2
BYD,ATTO,ATTO
BYD,ATTO 1,ATTO 1
BYD,ATTO 2,ATTO 2
BYD,ATTO 3,ATTO 3
BYD,ATTO1,ATTO1
BYD,ATTO2,ATTO2
BYD,ATTO3,ATTO3
BYD,ATTP 2,ATTP 2
BYD,BYD,BYD
BYD,BYD MY,BYD MY
BYD,BYD472,BYD472
BYD,CPD20,CPD20
BYD,D92A,D92A
BYD,D9RA,D9RA
BYD,DEALIO,DEALIO
BYD,DOLHPI,DOLHPI
BYD,DOLPH,DOLPH
BYD,DOLPHI,DOLPHI
BYD,DOLPHN,DOLPHN
BYD,DOPHIN,DOPHIN
BYD,DOPLHI,DOPLHI
BYD,ECB18S,ECB18S
BYD,EM2E D,EM2E D
BYD,EQE,EQE
BYD,HSARK6,HSARK6
BYD,LION,LION
BYD,M9,M9
BYD,PAH,PAH
BYD,RANGER,RANGER
BYD,SA3,SA3
BYD,SC3E,SC3E
BYD,SEAION,SEAION
BYD,SEAL,SEAL
BYD,SEAL 6,SEAL 6
BYD,SEAL 7,SEAL 7
BYD,SEAL6,SEAL6
BYD,SEAL7,SEAL7
BYD,SEALI,SEALI
BYD,SEALI7,SEALI7
BYD,SEALIN,SEALIN
BYD,SEALIO,SEALIO
BYD,SELAIO,SELAIO
BYD,SHAKR,SHAKR
BYD,SHARK,SHARK
BYD,SHARK6,SHARK6
BYD,SHRK 6,SHRK 6
BYD,SONG P,SONG P
BYD,SONGPL,SONGPL
BYD,SR,SR
BYD,TZ200X,TZ200X
BYD,TZ220X,TZ220X
BYD,U8,U8
BYD,UK,UK
CHERY,2024,2024
CHERY,2025,2025
CHERY,BX,BX
CHERY,BX T34,BX T34
CHERY,C 5,C 5
CHERY,C 5 UL,C 5 UL
CHERY,C 5 UR,C 5 UR
CHERY,C5,C5
CHERY,C5 MY2,C5 MY2
CHERY,C5 OMO,C5 OMO
CHERY,C5 ULT,C5 ULT
CHERY,C5 URB,C5 URB
CHERY,CHERY,CHERY
CHERY,CHR,CHR
CHERY,E5,E5
CHERY,E5 BEV,E5 BEV
CHERY,E5 ULT,E5 ULT
CHERY,EV5,EV5
CHERY,EX T34,EX T34
CHERY,J5,J5
CHERY,J5  SU,J5 SU
CHERY,J7,J7
CHERY,J8,J8
CHERY,JAECOO,JAECOO
CHERY,MG U9,MG U9
CHERY,MY24 T,MY24 T
CHERY,MY25 C,MY25 C
CHERY,MY25 T,MY25 T
CHERY,MY25 U,MY25 U
CHERY,MY26 T,MY26 T
CHERY,OMADA,OMADA
CHERY,OMADA5,OMADA5
CHERY,OMEDA,OMEDA
CHERY,OMOA 5,OMOA 5
CHERY,OMOAD,OMOAD
CHERY,OMODA,OMODA
CHERY,OMODA5,OMODA5
CHERY,OMONDA,OMONDA
CHERY,ONODA,ONODA
CHERY,RED,RED
CHERY,T19C O,T19C O
CHERY,T31 TI,T31 TI
CHERY,T32,T32
CHERY,T32 TI,T32 TI
CHERY,T34,T34
CHERY,T34 OM,T34 OM
CHERY,T35 TI,T35 TI
CHERY,T3X,T3X
CHERY,T4 ULT,T4 ULT
CHERY,T4 URB,T4 URB
CHERY,T431,T431
CHERY,T7 CSH,T7 CSH
CHERY,T8 CSH,T8 CSH
CHERY,T8 ULT,T8 ULT
CHERY,T9 CSH,T9 CSH
CHERY,TGGO 4,TGGO 4
CHERY,TI,TI
CHERY,TI41,TI41
CHERY,TIGG4,TIGG4
CHERY,TIGOO,TIGGO
CHERY,TIGG0,TIGGO
CHERY,TIGOG,TIGGO
CHERY,TIGGO,TIGGO
CHERY,TIGGO4,TIGGO4
CHERY,TIGGO7,TIGGO7
CHERY,TIGGO8,TIGGO8
CHERY,TIGGO9,TIGGO9
CHERY,TIGO 4,TIGO 4
CHERY,TIGO4,TIGO4
CHERY,TOGGO,TOGGO
CHERY,WAGON,WAGON
CHERY,ZS HEV,ZS HEV
CHEVROLET,1500 S,1500 S
CHEVROLET,2500 H,2500 H
CHEVROLET,2500 S,2500 S
CHEVROLET,3LT,3LT
CHEVROLET,4X4 SI,4X4 SI
CHEVROLET,C8 LT3,C8 LT3
CHEVROLET,CAMARO,CAMARO
CHEVROLET,COREVE,COREVE
CHEVROLET,CORVET,CORVET
CHEVROLET,COVETT,COVETT
CHEVROLET,DENALI,DENALI
CHEVROLET,GMSV C,GMSV C
CHEVROLET,L2 SIL,L2 SIL
CHEVROLET,LF SI,LF SI
CHEVROLET,LF SIL,LF SIL
CHEVROLET,MY24 4,MY24 4
CHEVROLET,SILKVE,SILKVE
CHEVROLET,SILVAR,SILVAR
CHEVROLET,SILVE,SILVE
CHEVROLET,SILVER,SILVER
CHEVROLET,SILVR,SILVR
CHEVROLET,SIVERA,SIVERA
CHEVROLET,SLIVER,SLIVER
CHEVROLET,T1XCH2,T1XCH2
CHEVROLET,TIGGO,TIGGO
CHEVROLET,UTE,UTE
CHEVROLET,WHITE,WHITE
CHEVROLET,Y2R CO,Y2R CO
CHEVROLET,YUKON,YUKON
CHEVROLET,ZR2,ZR2
CITROEN,C3,C3
CITROEN,C3 SHI,C3 SHI
CITROEN,C4,C4
CITROEN,C4 SHI,C4 SHI
CITROEN,C5,C5
CITROEN,C5 AIR,C5 AIR
CITROEN,C5 X,C5 X
CITROEN,C5 X S,C5 X S
CITROEN,C5X,C5X
CUPRA,ATECA,ATECA
CUPRA,BORN,BORN
CUPRA,CUPRA,CUPRA
CUPRA,FORMEN,FORMEN
CUPRA,FORMET,FORMET
CUPRA,FORMTR,FORMTR
CUPRA,LEON,LEON
CUPRA,LEON S,LEON S
CUPRA,LEON V,LEON V
CUPRA,TAVASC,TAVASC
CUPRA,TERRAM,TERRAM
DAIHATSU,HI-JET,HI-JET
DAIHATSU,HIJET,HIJET
DEEPAL,E07,E07
DEEPAL,EO7,EO7
DEEPAL,S07,S07
DEEPAL,SO7,SO7
DENZA,B5,B5
DENZA,B5L,B5L
DENZA,B8,B8
DENZA,D9,D9
DODGE,2500 L,2500 L
DODGE,3500,3500
DODGE,3500 L,3500 L
DODGE,CHALL,CHALL
DODGE,CHALLE,CHALLE
DODGE,CHALLR,CHALLR
DODGE,R A M,R A M
DODGE,RAM,RAM
DODGE,RAM 15,RAM 15
DODGE,RAM 25,RAM 25
DODGE,RAM 35,RAM 35
DODGE,RAM D1,RAM D1
DODGE,RAM TR,RAM TR
FERRARI,12 CIL,12 CIL
FERRARI,12CILI,12CILI
FERRARI,296 GT,296 GT
FERRARI,812 GT,812 GT
FERRARI,922D,922D
FERRARI,F171,F171
FERRARI,F8,F8
FERRARI,K105,K105
FERRARI,PORTOF,PORTOF
FERRARI,PUROSA,PUROSA
FERRARI,ROMA,ROMA
FERRARI,ROMA S,ROMA S
FERRARI,SF90 S,SF90 S
FERRARI,SF90 X,SF90 X
FERRARI,TURBO4,TURBO4
FIAT,500,500
FIAT,500 BE,500 BE
FIAT,500 DO,500 DO
FIAT,500 LO,500 LO
FIAT,500E,500E
FIAT,500E L,500E L
FIAT,695 CO,695 CO
FIAT,ABARIT,ABARIT
FIAT,ABARTH,ABARTH
FIAT,APPLAU,APPLAU
FIAT,B 6832,B 6832
FIAT,B 6942,B 6942
FIAT,B6732,B6732
FIAT,B6832,B6832
FIAT,B7452,B7452
FIAT,BIRSDV,BIRSDV
FIAT,C 7454,C 7454
FIAT,C 7464,C 7464
FIAT,C7454,C7454
FIAT,CASUAR,CASUAR
FIAT,CONQUE,CONQUE
FIAT,DESTIN,DESTIN
FIAT,DUCATI,DUCATI
FIAT,DUCATO,DUCATO
FIAT,EMU RV,EMU RV
FIAT,FA 25,FA 25
FIAT,FD 19,FD 19
FIAT,IN3,IN3
FIAT,IN500,IN500
FIAT,IN600,IN600
FIAT,IND600,IND600
FIAT,INDIE,INDIE
FIAT,INIE C,INIE C
FIAT,JAYCON,JAYCON
FIAT,JRV,JRV
FIAT,OPTIMU,OPTIMU
FIAT,RANGER,RANGER
FIAT,RENTAL,RENTAL
FIAT,SCUDO,SCUDO
FIAT,SIGNAT,SIGNAT
FIAT,TARINO,TARINO
FIAT,TORINO,TORINO
FIAT,V 6442,V 6442
FIAT,V6414,V6414
FORD,2023,2023
FORD,2024,2024
FORD,2025,2025
FORD,ALL N,ALL N
FORD,ALL NE,ALL NE
FORD,ARBRGR,ARBRGR
FORD,ATTO 2,ATTO 2
FORD,BF2SRW,BF2SRW
FORD,D90,D90
FORD,DD2SRX,DD2SRX
FORD,E,E
FORD,E TRAN,E TRAN
FORD,ERVERE,ERVERE
FORD,ESCAPE,ESCAPE
FORD,ESCPAE,ESCPAE
FORD,EVERSE,EVEREST
FORD,EVERES,EVEREST
FORD,EVER,EVEREST
FORD,EVERRE,EVEREST
FORD,EVERTE,EVEREST
FORD,EVRRES,EVEREST
FORD,EVERER,EVEREST
FORD,EVREST,EVEREST
FORD,EVERAS,EVEREST
FORD,EVERST,EVEREST
FORD,EVERS,EVERS
FORD,EXPLOR,EXPLOR
FORD,F 150,F 150
FORD,F 250,F 250
FORD,F 350,F 350
FORD,F-150,F-150
FORD,F150,F150
FORD,F150 L,F150 L
FORD,F150 P,F150 P
FORD,F150 S,F150 S
FORD,F150 X,F150 X
FORD,F250,F250
FORD,F250 L,F250 L
FORD,F250 P,F250 P
FORD,F250 X,F250 X
FORD,F250SR,F250SR
FORD,F350,F350
FORD,F350 L,F350 L
FORD,F450,F450
FORD,FALCON,FALCON
FORD,FIESTA,FIESTA
FORD,FOCUS,FOCUS
FORD,FORD,FORD
FORD,FORD R,FORD R
FORD,H6 ULT,H6 ULT
FORD,JOLION,JOLION
FORD,KONA,KONA
FORD,LARIAT,LARIAT
FORD,LIGHTN,LIGHTN
FORD,MACH E,MACH E
FORD,MACHE,MACHE
FORD,MSTANG,MSTANG
FORD,MUS,MUS
FORD,MUSTA,MUSTA
FORD,MUSTAG,MUSTAG
FORD,MUSTAN,MUSTAN
FORD,MUSTNG,MUSTNG
FORD,P,P
FORD,PLATIN,PLATIN
FORD,PUMA,PUMA
FORD,PUMA S,PUMA S
FORD,R,R
FORD,RA,RA
FORD,RAMGER,RAMGER
FORD,RAN,RAN
FORD,RANEGR,RANEGR
FORD,RANER,RANER
FORD,RANFER,RANFER
FORD,RANGE,RANGE
FORD,RANGEE,RANGEE
FORD,RANGER,RANGER
FORD,RANGET,RANGET
FORD,RANGR,RANGR
FORD,RANGRT,RANGRT
FORD,RAPTOR,RAPTOR
FORD,RAPTPR,RAPTPR
FORD,RNAGER,RNAGER
FORD,RNGER,RNGER
FORD,SANTA,SANTA
FORD,SDUTY,SDUTY
FORD,SEAL,SEAL
FORD,SEALIO,SEALIO
FORD,SHELBY,SHELBY
FORD,SPORT,SPORT
FORD,SUNCAM,SUNCAM
FORD,SUPER,SUPER
FORD,SUPERD,SUPERD
FORD,SUPGD,SUPGD
FORD,SWIFT,SWIFT
FORD,TANK 3,TANK 3
FORD,TANSIT,TANSIT
FORD,TIGGO,TIGGO
FORD,TOUARE,TOUARE
FORD,TOUENE,TOUENE
FORD,TOURNE,TOURNE
FORD,TR 545,TR 545
FORD,TR CUS,TR CUS
FORD,TR TRA,TR TRA
FORD,TR5452,TR5452
FORD,TRANIS,TRANIS
FORD,TRANIT,TRANIT
FORD,TRANSI,TRANSI
FORD,TRANST,TRANST
FORD,TRASNI,TRASNI
FORD,TREMOR,TREMOR
FORD,TUCSON,TUCSON
FORD,UTE CA,UTE CA
FORD,VAN,VAN
FORD,VENUE,VENUE
FORD,WANGER,WANGER
FORD,WILDTR,WILDTR
FORD,XL BLA,XL BLA
FORD,XL DC,XL DC
FORD,XLT CA,XLT CA
FORD,YN2SPX,YN2SPX
FORD,YN2SSW,YN2SSW
FORD,YNWSRR,YNWSRR
FORD,ZRV,ZRV
GAC,AION,AION
GAC,AION U,AION U
GAC,AION V,AION V
GAC,AIONV,AIONV
GAC,EMZOOM,EMZOOM
GAC,M8,M8
GEELY,COMPLE,COMPLE
GEELY,EX INS,EX INS
GEELY,EX4,EX4
GEELY,EX5,EX5
GEELY,EX5 CO,EX5 CO
GEELY,EX5 IN,EX5 IN
GEELY,INSPIR,INSPIR
GEELY,INSPRE,INSPRE
GEELY,STARRA,STARRA
GEELY,STARRY,STARRY
GENESIS,CV70,CV70
GENESIS,G70,G70
GENESIS,G80,G80
GENESIS,GV60,GV60
GENESIS,GV70,GV70
GENESIS,GV80,GV80
GENESIS,JK GV7,JK GV7
GMC,3500,3500
GMC,DENALI,DENALI
GMC,ORA,ORA
GMC,RAV 4,RAV4
GMC,SIERRA,SIERRA
GMC,SILVER,SILVER
GMC,YUKON,YUKON
GREAT WALL,A01 HA,A01 HA
GREAT WALL,ALPHA,ALPHA
GREAT WALL,APLHA,APLHA
GREAT WALL,B01 HA,B01 HA
GREAT WALL,BLACK,BLACK
GREAT WALL,BLUMNT,BLUMNT
GREAT WALL,BO3,BO3
GREAT WALL,CA,CA
GREAT WALL,CANN,CANN
GREAT WALL,CANNN,CANNN
GREAT WALL,CANNNO,CANNNO
GREAT WALL,CANNO,CANNO
GREAT WALL,CANNON,CANNON
GREAT WALL,CANNPN,CANNPN
GREAT WALL,CANON,CANON
GREAT WALL,CANONK,CANONK
GREAT WALL,CANOON,CANOON
GREAT WALL,CNNON,CNNON
GREAT WALL,DC CCH,DC CCH
GREAT WALL,DC UTE,DC UTE
GREAT WALL,EC240V,EC240V
GREAT WALL,GWM,GWM
GREAT WALL,GWM UT,GWM UT
GREAT WALL,H6,H6
GREAT WALL,H6 GT,H6 GT
GREAT WALL,H6 HYB,H6 HYB
GREAT WALL,H6 LUX,H6 LUX
GREAT WALL,H6 ULT,H6 ULT
GREAT WALL,H6 VAN,H6 VAN
GREAT WALL,H6GT,H6GT
