make_standardized,model_raw,model_standardized,ev_category
CHERY,T34 OM,T34 OM,ICE
CHERY,T35 TI,T35 TI,ICE
CHERY,T3X,T3X,ICE
CHERY,T4 ULT,T4 ULT,ICE
CHERY,T4 URB,T4 URB,ICE
CHERY,T431,T431,ICE
CHERY,T7 CSH,T7 CSH,ICE
CHERY,T8 CSH,T8 CSH,ICE
CHERY,T8 ULT,T8 ULT,ICE
CHERY,T9 CSH,T9 CSH,ICE
CHERY,TGGO 4,TGGO 4,ICE
CHERY,TI,TI,ICE
CHERY,TI41,TI41,ICE
CHERY,TIGGO,TIGGO,ICE
CHERY,TIGG4,TIGG4,ICE
CHERY,TIGGO4,TIGGO4,ICE
CHERY,TIGGO7,TIGGO7,ICE
CHERY,TIGGO8,TIGGO8,ICE
CHERY,TIGGO9,TIGGO9,ICE
CHERY,TIGO 4,TIGO 4,ICE
CHERY,TIGO4,TIGO4,ICE
CHERY,TOGGO,TOGGO,ICE
CHERY,WAGON,WAGON,ICE
CHERY,ZS HEV,ZS HEV,HEV
CUPRA,ATECA,ATECA,ICE
CUPRA,BORN,BORN,BEV
CUPRA,CUPRA,CUPRA,ICE
CUPRA,FORMEN,FORMEN,ICE
CUPRA,FORMET,FORMET,ICE
CUPRA,FORMTR,FORMTR,ICE
CUPRA,LEON,LEON,ICE
CUPRA,LEON S,LEON S,ICE
CUPRA,LEON V,LEON V,ICE
CUPRA,TAVASC,TAVASC,ICE
CUPRA,TERRAM,TERRAM,ICE
DEEPAL,E07,E07,ICE
DEEPAL,EO7,EO7,ICE
DEEPAL,S07,S07,ICE
DEEPAL,SO7,SO7,ICE
DENZA,B5,B5,ICE
DENZA,B5L,B5L,ICE
DENZA,B8,B8,ICE
DENZA,D9,D9,ICE
DODGE,2500 L,2500 L,ICE
DODGE,3500,3500,ICE
DODGE,3500 L,3500 L,ICE
DODGE,CHALL,CHALL,ICE
DODGE,CHALLE,CHALLE,ICE
DODGE,CHALLR,CHALLR,ICE
DODGE,R A M,R A M,ICE
DODGE,RAM,RAM,ICE
DODGE,RAM 15,RAM 15,ICE
DODGE,RAM 25,RAM 25,ICE
DODGE,RAM 35,RAM 35,ICE
DODGE,RAM D1,RAM D1,ICE
DODGE,RAM TR,RAM TR,ICE
FIAT,500,500,ICE
