make_standardized,model_standardized,ev_category
BMW,M3 TOU,ICE
BMW,M304I,ICE
BMW,M340I,ICE
BMW,M35I,ICE
BMW,M4,ICE
BMW,M4 40I,ICE
BMW,M4 CO,ICE
BMW,M4 COM,ICE
BMW,M4 CS,ICE
BMW,M440,ICE
BMW,M440I,ICE
BMW,M5,ICE
BMW,M5 COM,ICE
BMW,M5 TOU,ICE
BMW,M550I,ICE
BMW,M8,ICE
BMW,M850I,ICE
BMW,MINI C,ICE
BMW,MULTIS,ICE
BMW,R 12,ICE
BMW,R 12 G,ICE
BMW,R 12 H,ICE
BMW,R 12 N,ICE
BMW,R 12 O,ICE
BMW,R 12 S,ICE
BMW,R 125,ICE
BMW,R 1250,ICE
BMW,R 12NI,ICE
BMW,R 130,ICE
BMW,R 1300,ICE
BMW,R 18,ICE
BMW,R 18 1,ICE
BMW,R 18 B,ICE
BMW,R 18 C,ICE
BMW,R 18 H,ICE
BMW,R 18 R,ICE
BMW,R 18 T,ICE
BMW,R NIN,ICE
BMW,R NINE,ICE
BMW,R12,ICE
BMW,R12 GS,ICE
BMW,R12 NI,ICE
BMW,R12 S,ICE
BMW,R1250,ICE
BMW,R1250G,ICE
BMW,R1250R,ICE
BMW,R12GS,ICE
BMW,R12NIN,ICE
BMW,R12S,ICE
BMW,R1300,ICE
BMW,R1300G,ICE
BMW,R1300R,ICE
BMW,R18,ICE
BMW,R18 B,ICE
BMW,R18 BL,ICE
BMW,R18 CL,ICE
BMW,R18 HL,ICE
BMW,R18 RO,ICE
BMW,R18 TR,ICE
BMW,R18B,ICE
BMW,R18CL,ICE
BMW,R18TR,ICE
BMW,R9T,ICE
BMW,RNINET,ICE
BMW,S 100,ICE
BMW,S 1000,ICE
BMW,S1000,ICE
BMW,S10000,ICE
BMW,S1000R,ICE
BMW,S1000X,ICE
BMW,S100R,ICE
BMW,S100RR,ICE
BMW,S100XR,ICE
BMW,SERIES,ICE
BMW,X M40I,ICE
BMW,X1,ICE
BMW,X1 18I,ICE
BMW,X1 20,ICE
BMW,X1 20I,ICE
BMW,X1 M13,ICE
BMW,X1 M35,ICE
BMW,X1 SDR,ICE
BMW,X1 X D,ICE
BMW,X1 XDR,ICE
BMW,X120I,ICE
BMW,X1M35I,ICE
BMW,X2,ICE
BMW,X2 18I,ICE
BMW,X2 20,ICE
BMW,X2 20I,ICE
BMW,X2 M35,ICE
BMW,X2 SDR,ICE
BMW,X2 XDR,ICE
BMW,X3,ICE
BMW,X3 20,ICE
BMW,X3 20D,ICE
BMW,X3 20I,ICE
BMW,X3 20X,ICE
BMW,X3 30D,ICE
BMW,X3 30E,PHEV
BMW,X3 30I,ICE
BMW,X3 3OI,ICE
BMW,X3 40D,ICE
BMW,X3 M,ICE
BMW,X3 M C,ICE
BMW,X3 M40,ICE
BMW,X3 M4O,ICE
BMW,X3 M50,ICE
BMW,X3 SDR,ICE
BMW,X3 XDR,ICE
BMW,X330E,PHEV
BMW,X3M CO,ICE
BMW,X3M40I,ICE
BMW,X4,ICE
BMW,X4 20I,ICE
BMW,X4 30D,ICE
BMW,X4 30I,ICE
BMW,X4 M,ICE
BMW,X4 M C,ICE
BMW,X4 M40,ICE
BMW,X4 XDR,ICE
BMW,X4M,ICE
BMW,X5,ICE
BMW,X5 30D,ICE
BMW,X5 3OD,ICE
BMW,X5 40I,ICE
BMW,X5 50E,PHEV
BMW,X5 50I,ICE
BMW,X5 D40,ICE
BMW,X5 M,ICE
BMW,X5 M C,ICE
BMW,X5 M50,ICE
BMW,X5 M60,ICE
BMW,X5 XDD,ICE
BMW,X5 XDR,ICE
BMW,X540I,ICE
BMW,X550E,PHEV
BMW,X6,ICE
BMW,X6 30D,ICE
BMW,X6 40I,ICE
BMW,X6 M,ICE
BMW,X6 M C,ICE
BMW,X6 M50,ICE
BMW,X6 M60,ICE
BMW,X6 X D,ICE
BMW,X6 XDR,ICE
BMW,X7,ICE
BMW,X7 30D,ICE
BMW,X7 40D,ICE
BMW,X7 40I,ICE
BMW,X7 M60,ICE
BMW,X7 XDR,ICE
BMW,XD3,ICE
BMW,XM,ICE
BMW,XM LAB,ICE
BMW,XX6,ICE
BMW,Z4,ICE
BMW,Z4 20I,ICE
BMW,Z4 M40,ICE
BMW,Z4 SDR,ICE
BMW,ZP11,ICE
BYD,2024,BEV
BYD,A,BEV
BYD,AAA,BEV
BYD,ATT0 2,BEV
BYD,ATTO,BEV
BYD,ATTO 1,BEV
BYD,ATTO 2,BEV
BYD,ATTO 3,BEV
BYD,ATTO1,BEV
BYD,ATTO2,BEV
BYD,ATTO3,BEV
BYD,ATTP 2,BEV
BYD,BYD,BEV
BYD,BYD MY,BEV
BYD,BYD472,BEV
BYD,CPD20,BEV
BYD,D92A,BEV
BYD,D9RA,BEV
BYD,DEALIO,BEV
BYD,DOLHPI,BEV
BYD,DOLPH,BEV
BYD,DOLPHI,BEV
BYD,DOLPHN,BEV
BYD,DOPHIN,BEV
BYD,DOPLHI,BEV
BYD,ECB18S,BEV
BYD,EM2E D,PHEV
BYD,EQE,BEV
BYD,HSARK6,BEV
BYD,LION,BEV
BYD,M9,BEV
BYD,PAH,BEV
BYD,RANGER,BEV
BYD,SA3,BEV
BYD,SC3E,PHEV
BYD,SEAION,BEV
BYD,SEAL,BEV
BYD,SEAL 6,BEV
BYD,SEAL 7,BEV
BYD,SEAL6,BEV
BYD,SEAL7,BEV
BYD,SEALI,BEV
BYD,SEALI7,BEV
BYD,SEALIN,BEV
BYD,SEALIO,BEV
BYD,SELAIO,BEV
BYD,SHAKR,BEV
BYD,SHARK,BEV
BYD,SHARK6,BEV
BYD,SHRK 6,BEV
BYD,SONG P,BEV
BYD,SONGPL,BEV
BYD,SR,BEV
BYD,TZ200X,BEV
BYD,TZ220X,BEV
BYD,U8,BEV
BYD,UK,BEV
CHERY,2024,BEV
CHERY,2025,BEV
CHERY,BX,BEV
CHERY,BX T34,BEV
CHERY,C 5,BEV
CHERY,C 5 UL,BEV
CHERY,C 5 UR,BEV
CHERY,C5,BEV
CHERY,C5 MY2,BEV
CHERY,C5 OMO,BEV
CHERY,C5 ULT,BEV
CHERY,C5 URB,BEV
CHERY,CHERY,BEV
CHERY,CHR,BEV
CHERY,E5,BEV
CHERY,E5 BEV,BEV
CHERY,E5 ULT,BEV
CHERY,EV5,BEV
CHERY,EX T34,BEV
CHERY,J5,BEV
CHERY,J5 SU,BEV
CHERY,J7,BEV
CHERY,J8,BEV
CHERY,JAECOO,BEV
CHERY,MG U9,BEV
CHERY,MY24 T,BEV
CHERY,MY25 C,BEV
CHERY,MY25 T,BEV
CHERY,MY25 U,BEV
CHERY,MY26 T,BEV
CHERY,OMADA,BEV
CHERY,OMADA5,BEV
CHERY,OMEDA,BEV
CHERY,OMOA 5,BEV
CHERY,OMOAD,BEV
CHERY,OMODA,BEV
CHERY,OMODA5,BEV
CHERY,OMONDA,BEV
CHERY,ONODA,BEV
CHERY,RED,BEV
CHERY,T19C O,BEV
CHERY,T31 TI,BEV
CHERY,T32,BEV
CHERY,T32 TI,BEV
